id	検証名	条件	期間	n	的中	主要ROI	頑健性チェック	判定	出典
58	セル別完全集計表の作成	10セル×2シグナル×五分位Q1-Q5×両窓+AND(p60/p80)の n/的中/勝率/平均オッズ/ROI 全数値をTSV+Artifact化	2014-2021/2022-2026	228行(セル×シグナル×分位×窓)	-	ROI≥100は全て片窓のみ(ダ2勝ka3 Q5検106.4・ダ3勝ka3 Q5学100.7等)。AND p80も最良でダ未勝利87.5-90.9%止まり。シグナル上位ほど勝率が市場想定を超える構造は全セルで再現	ダ未勝利ka3は五分位が2箱に退化・ダ芝1勝ka3はQ5退化(n=7-9)を明記。n<30は判定から除外	完全数表はexperiments/cell_full_table.tsvとArtifactに保存。売買可能セルなしの結論不変	cell_full_table.py / log330
59	Benter合算の原料帯スキャン(視点転換: n大×90%%前後)	合成スコア(z_ka+z_rf,学習窓z化・カット)十分位×オッズ帯5帯の50セグメントを min(ROI学,ROI検) と帯ベースライン超過ptでランク付け	2014-2021/2022-2026	セグメント250-6850	-	最良原料: ①4-9.9倍×D9 88.1/93.4(n=2355/1036,超過+9.1pt) ②4-9.9倍×D10 87.5/91.4(+8.6pt) ③50倍超×D10 95.4/85.6(n=6850/3875,超過+20.7pt=帯基準68/65に対し) ④1-3.9倍×D7-8 84-89(+5.6-6.1pt)	両窓minで評価し片窓の蜃気楼(20-49.9倍D10=学116.9/検62.9等)を自動排除	中位帯の上位2十分位=約470頭/年でROI90前後・ベースライン+9ptが最厚の原料。既知の実在5シグナル(小系統+17.6pt等)と独立に積めれば100超えが射程。7シグナル蒸留GBM p_fund+条件付きロジット+EVが凍結明けの本命計画として定量的に正当化された	feedstock_scan.py / log331
60	AND細密グリッド+同n和との直接対決	対称p30-p80+非対称3×3(4-9.9倍帯)。各ANDセルと学習窓で同nになる合成スコア上位カットのmin(ROI学,検)を比較	2014-2021/2022-2026	セル918-18680	-	AND vs 和は6勝6敗・差±1-3pt=同格(ANDの構造的優位なし)。最良原料セル: ka≥p80×rf≥p40 88.0/90.4(n=5487/2683=年630頭,min88.0)・ka≥p80×rf≥p60 88.4/90.1。非対称でka側を重くするセルが一貫して良い=最適重みは等重みでない示唆	minROI評価で片窓蜃気楼排除。同一ボリューム比較によりAND優位に見えた#53はボリューム選択の効果と判明	ANDと和は同じ情報の別包装(交互作用なし#52と整合)。ka重め非対称が最厚原料(年630頭×min88)。重み学習はGBMに任せるのが正解でこれ以上の手動グリッドは不要	and_grid_scan.py / log332
61	キャリア走数帯別のシグナル分解	走数帯(6-8/9-12/13-18/19-30/31+)×両シグナルγz・ka3分母帯別・z×log(走数)交互作用・原料セルの走数帯別ROI	2014-2021/2022-2026	帯あたり0.6万-4.9万	-	6-30走はどの帯もシグナル生存(z2-4.7)だが**31走以上で両方死亡**(ka +1.17/+0.02, rf -0.58/+0.86)。ka3は分母3着内3-6回が核(z3.1-4.4/2.7)で10回以上は死(+1.69/+0.28)。交互作用はrfで負(学-2.63)=走数が増えるほど弱まる。原料セルの走数帯別ROIは6-30走で82-96と差なし、31+は41.9%(n=68)	「精度仮説」(走数多い=集計が正確=強い)は棄却され逆方向。市場が長く観察した馬ほど織り込まれる=情報の鮮度構造	絞り込みは「31走以上除外」のみ正当。細かい帯絞りは利益なし。ka3の本体は「3着内3-6回の比較的新しい実績馬」	career_band_scan.py / log333
62	短キャリア馬(6走未満)でのシグナル検証	3-5走/4-5走帯で短縮版指標(rf2s=直近2走,rf3s=直近3走,過去3-4走から定義)+ka3を検定。6-8走帯を参照に	2014-2021/2022-2026	帯×指標で0.5万-7.3万	-	3-5走: ka3 +2.08/+1.67・rf2s +1.69/+0.76・rf3s +2.38/+0.55 → 全て検証窓で有意水準未達。4-5走も同様(ka +1.77/+1.90が最接近だが両窓z<2)。参照6-8走ではrf3s +4.88/+1.90と学習窓は強く、境界は6走付近にある	ka3の3-5走適格は「ほぼ皆勤好走馬」に偏る(n=8千)選択バイアスあり	下限starts>=6は正当と確認。適格窓は「過去6-30走」で両端確定(#61と合わせて)。短キャリア=若馬市場は戦績集計でなく血統等で値付けされる(#54未勝利無効と整合)	short_career_scan.py / log334
63	「過去走数」自体のシグナル化検定	win~logit(p)+z(log走数)の単独検定+馬齢統制+走数帯別素ROI。全出走59.1万頭(2014+)	2014-2021/2022-2026	59.1万	-	単独: z=-1.30/-1.62で有意未達。馬齢統制後は完全消滅(+0.32/-0.29)。log走数と馬齢の相関+0.798=ほぼ同一情報。走数帯別素ROIも単調性なし(31+の68/52は帯構成効果)	#61の負の主効果(z-4.08)はrf適格母集団内・rf同時投入の条件付き係数で、単独シグナルとしては再現せず	走数は指標にならない(市場は馬齢・キャリアを織り込み済み)。走数の役割は「他シグナルの適格窓(6-30走)」としてのみ有効で確定	career_count_signal.py / log335
64	適格窓「過去30走以下」の正式適用+馬齢別分解(ka3は3走から可・rf_avgは定義上6走必要)	①フィルタ前後のγz比較 ②原料セル/合成Q5のROI(4-9.9倍帯) ③馬齢別(3/4/5/6/7+)のz・基準ROI・合成Q5 ROI	2014-2021/2022-2026	ka14.0万+7.5万・rf19.2万+9.8万	-	フィルタ効果: ka 5.20/4.99→4.91/4.91(中立)・rf 5.15/5.22→5.55/5.22(学習改善)。母集団9-12%減で毒帯除去。原料セル88.3/89.9・合成Q5 89.0/92.7と安定。馬齢別は**5歳が突出**: 両シグナル両窓生存(ka 2.91/4.54, rf 3.68/2.89)・基準ROI 83/81・合成Q5 93.9/107.1(n=1116/509)。6歳以上で急死(6歳Q5 71/75)	5歳スライスは事後発見のため追試前提。ただし適格窓(6-30走)の中心=キャリア中盤という構造説明と整合	適格窓は正式採用(z中立〜改善で毒だけ除去)。5歳×合成Q5×中位帯(min93.9, 年125頭)は原料台帳の最上段候補だが薄い。年齢はGBMの特徴量に含めて自動学習させる方針	eligible_final_scan.py / log336
65	性別×馬場×馬齢の分解+有望2セルの蜃気楼判定	適格≤30走で性別(牡/牝/セ)×(合算/ダ/芝)・馬齢×ダのz/基準ROI/合成Q5 ROI。有望セルに除1/除3/年別を実施	2014-2021/2022-2026	セル0.3万-7.8万	-	シグナルは牡馬現象: 牡 ka+2.62/+3.93・rf+2.51/+4.97に対し牝は検証全滅(ka+0.40, rf+1.21)。**ダ×牡×Q5: 学96.9(除3 94.1,プラス6/8)/検102.7(除3 96.3,プラス4/5)=一発依存なしプラス10/13年の最優良原料(年116頭)**。ダ×5歳×Q5: 106.2/116.9で両窓素100超え・除3も99.1/101.0と生存だが学プラス4/8・年45頭・深い事後スライス	ダ×牡Q5は除3で-3ptしか落ちない=構造的で配当依存なし。ダ×5歳は事後の事後(馬場×年齢×Q5×帯)で多重比較が深く、追試/事前登録なしでは信じない	牝馬はキャリア構造が違い(早期引退・使われ方)戦績集計の死角が小さい模様。原料台帳の新筆頭=ダ×牡×合成Q5(min96.9・毎年安定)。ダ×5歳Q5は季末フォワード観察枠	gender_signal_scan.py / log337
66	ダ×年齢幅の頑健性判定(「ダートと年齢に絞る」提案の検証)	ダ×合成Q5×4-9.9倍で年齢幅を5歳/4-5歳/3-5歳/4-6歳に振り除3・プラス年を比較	2014-2021/2022-2026	幅により413-1361/178-550	-	5歳単独: 106.2/116.9(除3 99.1/101.0)に対し、4-5歳95.0/99.2・3-5歳91.2/99.8・4-6歳96.0/96.0と**隣接年齢に一切染み出さない孤立スパイク**。本物の構造効果は隣に滲む(ka3のk=2-4高原・rfのw=2-5高原と対照的)	5歳プラス年も学4/8で過半未満。4段事後スライス+孤立スパイク=幸運成分が濃い	「ダートに絞る」は正当(多数の独立な切り口で再現)。「5歳に絞る」は採用不可=事前登録フォワード観察のみ。観察本命はダ×牡×Q5(除3耐性・10/13年プラスの構造型)	インライン(log338)
67	7歳以上除外の判定	主観察セル(ダ×牡×合成Q5×4-9.9倍×≤30走)で年齢上限を全年齢/≤6歳/≤5歳に振り比較。7歳+単体・6歳単体も確認	2014-2021/2022-2026	全年齢1059/449	-	7歳+はセル内n=30/15(3%%)でROI69.7・除3で0=完全な死に票。≤6歳にすると 97.7/104.5(除3 94.8/97.9)と全年齢(96.9/102.7)を両窓で上回る。≤5歳は学プラス年4/8に劣化するため6歳は残す	7歳+の死は#64(z+0.56)#65(ダで-0.05)とも整合し孤立スパイクでなく一貫した不在。除外は量3%%減で両窓改善=毒抜き型の絞り	仕様を「3-6歳」に更新(7歳+除外採用・6歳保持)。5歳スパイク採用とは性質が異なる(エッジ不在の除外はOK、エッジ集中の選択はNG)	インライン(log339)
68	ダート×3-6歳×≤30走の合成五分位×オッズ帯マトリクス	母集団(学6.3万/検3.4万)を合成Q1-5×オッズ5帯の25マスに分解、n/的中/勝率/平均オッズ/ROIを両窓で算出。カットは母集団学習窓固定	2014-2021/2022-2026	マスあたり232-4953	-	中核の4-9.9倍帯は両窓とも完全単調(学70.5→90.6/検64.0→94.9)。1-3.9倍帯Q4も両窓89.3/89.7と良質(低σ帯で資金効率良)。10-19.9倍Q5検111.5は学81.7の片窓。20倍超は全Q沈没(FLバイアス圏)	性別を外した効果: 4-9.9Q5は90.6/94.9(牡限定96.9/102.7から約5-8pt低下)=牡フィルタの寄与が実在	原料の中核=ダ3-6歳×Q5×4-9.9倍(年200頭,min90.6)と1-3.9倍Q4(年95頭,min89.3,低σ)。マトリクス全体が「シグナルは中位帯で最も換金効率が高い」を確認	dirt36_quintile_odds.py / log340
69	4-9.9倍帯の検証しすぎ疑惑のプラセボ定量化	合成シグナルを年内シャッフルで破壊した偽シグナル300本に同一パイプライン(Q5カット→ダ牡3-6歳×4-9.9帯)を適用し、選択+ノイズだけで出るmin(ROI学,検)の分布を作成	2014-2021/2022-2026	偽シグナル300本(実セルn=1029/434)	-	実測min 97.7に対しプラセボ分布は中央値75.1・90%%点81.6・99%%点86.0・**300本の最大でも87.0**。「10回試して最良を選ぶ」相当でも最大87.0。実測を超えた偽シグナル0/300	選択効果の大きさも同時に判明: 単発中央値75.1 vs 最良選択中央値82.3=セル数字は選択で+7pt程度水増きれ得る	①シグナルの実在は選択バイアスでは説明不可(プラセボ天井87 vs 実測97.7で+10.7pt差) ②ただしセルROIの「水準」は最大7pt程度楽観的とみなし、真値は90-97と読むのが誠実 ③検証窓は多数回消費済みで無垢でない→最終判定はフォワード観察のみが持つ	インライン(log341)
70	オッズフィルタなし評価(「オッズは最後に絞る」原則の検証)	最終条件(ダ×牡×3-6歳×Q5×≤30走)を全オッズで評価+帯別に「同帯ベースラインからの超過pt」を算出	2014-2021/2022-2026	全オッズ6796/3582	-	全オッズROI 92.3/88.2(基準77.5/75.8)=超過+14.8/+12.4pt。帯別超過は10セル中9セルで正(4-9.9: +16.0/+27.8、20-49.9: +5.6/+12.2、50+: +32.3/+5.1等、負は1-3.9検の-1.8のみ)=エッジは帯限定の産物ではない	ただし全オッズのフラット買いは平均オッズ62-75倍の大穴ポートフォリオになり除3 81.0/73.5・プラス年1/13で運用不能=確率エッジがあってもFLバイアスの深い帯ではフラットROIに変換されない	ユーザー原則を精緻化して採用: ①シグナル検出はオッズ非依存で行う(γ検定は元々全オッズ・帯別超過9/10正で合格) ②帯の絞りは「エッジの所在」でなく「換金効率」の問題として最後に行う。フラットROIの帯一様性を要求するのはFLバイアス下では理論的に誤り	インライン(log342)
71	高オッズ帯の細分(50-79.9/80+)による最終条件の内訳精査	最終条件セル(ダ×牡×3-6歳×Q5×≤30走)を6帯(1-3.9/4-9.9/10-19.9/20-49.9/50-79.9/80+)に分解、n/的中/勝率/ROI/基準/超過/除3	2014-2021/2022-2026	帯×窓で146-1764	-	50倍以上がセルの39-45%%を占めるが的中は窓あたり4-13本のみで測定不能: 50-79.9は学+18.0/検-29.2と暴れ(除3 72.0/11.1)、80+は+42.0/+22.5に見えて除3 56.2/31.3=全てが数本の万馬券依存。堅実な帯は4-9.9(+16.0/+27.8、除3 94.8/97.9で唯一生存)。10-19.9は+5.3/+44.3の検証偏重	粗い50+集計で見えた超過+32.3の正体は80+学の11本の的中=蜃気楼	50倍以上の除外を採用(測定不能+分散毒の衛生除外であり、ROIショッピングではない。7歳+除外と同じ非対称ルール)。精査後セル(<50倍)は学87.8/検102.4・n=4165/1964=年470頭	インライン(log343)
72	ダ×3-6歳×≤30走(牡フィルタなし)の五分位+上位カット可変	素の母集団で合成Q1-5と上位10/20/30/40/50%%カットを全オッズ/50倍未満の両建てで評価(n/的中/勝率/ROI/超過/除3/プラス年)	2014-2021/2022-2026	50倍未満で学5.0万/検2.6万	-	50倍未満でカットを締めるほど両窓単調改善: 上位50%% 82.1/82.4→上位20%% 86.6/93.5→**上位10%% 90.6/99.6(除3 87.7/93.7, n=5034/2359=年570頭)**。全オッズ版は上位10%%でも除3 80.6/72.8と高オッズ毒が残る=50倍未満衛生の効果を再確認	勾配が滑らか(孤立スパイクなし)で勝率も単調(7.9→9.0%%)。プラス年は学2/8が弱点(学習期の基準ROIが低いため)	牡なし版の到達点=ダ3-6歳×≤30走×<50倍×合成上位10%%: min90.6・年570頭。牡あり(min97.7・年115頭)とのトレードオフは「厚さvs高さ」でフォワード観察で両方走らせる価値あり	インライン(log344)
73	合成上位10%%の構成分解(和カットは2指標を揃えない件の実証)	上位10%%(ダ3-6歳≤30走<50倍)を「両方高い(学習窓p70基準)/ka主導/rf主導」に3分割しROI・除3を比較	2014-2021/2022-2026	3511+896+627/1607+469+240	-	構成は両方高い70%%・ka主導18-20%%・rf主導10-12%%。両方高い: 86.9/101.7(除3 82.8/93.7)=屋台骨。ka主導: 85.2/103.1(除3 73.9/80.4)=まずまず。**rf主導: 学116.6(除3 93.9)→検68.1(除3 27.6)で崩壊**=rf単独突出(深い見限られ馬)は不安定	和カットでも実際は7割が「両方高い」馬で構成される(深いカットの自然な帰結)	「揃える必要はない」は構造上正しいが、実利の大半は両方高い群から。rf片翼突出は信頼できない→ka側に床(または重み)を置く発想(#60のka重めAND優位と同結論)。最適重みはGBMへ	インライン(log345)
74	ka上位X%%×rf上位Y%%の非対称ANDグリッド(Q20ANDQ40等)	最終母集団(ダ3-6歳≤30走<50倍)でX,Y∈{10,20,30,40,60}の25セル、ROI/除3/n両窓	2014-2021/2022-2026	セル638-21827	-	ユーザー指定のka20%%×rf40%%=86/98(除3 83/93, n=4884/2405)。同ボリュームの和上位10%%(90.6/99.6, 除3 87.7/93.7, n=5034/2359)が僅かに上回る。グリッド最高見かけのka10%%×rf10%%=114/76は検証崩壊。全25セルで和カットを安定して超える組み合わせなし	#60(同n比較で和≧AND)#73(rf単独突出は毒)と三たび整合。検証列はrf緩めで上がるが和カットの写像に吸収される範囲	非対称ANDは可能だが和カットに勝てないことが最終母集団でも確定。閾値の手動探索は完全終了、配合最適化はGBMの重み学習に一本化	インライン(log346)
75	Q20×Q40仕様の採用・事前登録・観察基盤構築	ユーザー決定によりka3>=0.500かつrf_avg>=0.0351(学習窓分位点で凍結)・ダ3-6歳≤30走<50倍・単勝紙上フラットをPREREG_KARF_FORWARD.mdに事前登録。集計スクリプトkarf_forward_eval.py新設	開始2026-07-07、判定2027-07	想定年500頭	-	動作確認: 2025-06-01〜07-06で55頭・的中9・ROI183.8%%(除3 94.5)。判定基準=素ROI>100かつ除3>90で凍結	**keiba.dbは2026-04以降ほぼ未取込(4月1734行/5月351行/6月116行、最終日6/21)**。フォワード集計にはTARGET CSV取込が前提	採用完了。資金投入なし・期中変更禁止。データ取込の再開が実務上の前提条件	PREREG_KARF_FORWARD.md / karf_forward_eval.py / log347
76	GBMに配合を学ばせる実験(素朴GBM/残差GBM/+文脈)	LightGBM4.6で A)素朴 B)base_margin=logit(p_mkt)の残差学習(z最大化の正攻法) C)B+文脈特徴量。線形comboと検証窓z・上位10%%ROIで比較	学習2014-2021(13.1万)/検証2022-(6.9万)	-	-	線形combo z+6.36・ROI90.6/99.6に対し、A: z-4.92(市場と競合し逆向き) B: z+1.85で学107.6→検79.9 C: z+0.95で学130.3→検80.1と教科書的過学習。Bの学習した補正面も非単調ノイズ	残差GBM(init_score=市場ログオッズ)は「zを最大にする学習」として技術的に正しいが、+2-3pt級×交互作用ゼロの2シグナルには学ぶべき非線形が無く、表現力は全て過学習に回る	2シグナルの配合はロジスティック回帰/z和が最終回答。GBMの器は7シグナル全部が揃うp_fund再構築時に初めて意味を持つ(5シグナル蒸留GBM成功の再現条件)	gbm_blend_test.py / log348
77	規律版・残差GBM(単調制約+内部検証早期打切)	kensho#76の改良: monotone_constraints=[+1,+1]・num_leaves=3・min_child_samples=3000・木数は2014-2019学習/2020-2021内部検証で自動決定(51本)→全学習窓で再学習。検証窓2022+は完全未接触	学習2014-2021/検証2022-2026	学13.1万/検6.9万	-	**検証窓z=+6.75で線形combo(+6.36)を上回る(今日の全手法で最高)**。学習した補正面は完全単調でka0.5→0.75間に大きな段差=「kaの床」を自力で発見(#60/#73の手動知見と一致)。ただし上位10%カットROIは81.7/95.2でcombo(90.6/99.6)に及ばず — 3葉×51本の離散スコアが分位カットで同値タイを作り上位カットが鈍る	zとカットROIで勝者が逆転する理由も特定(スコア離散性)。過学習は消滅(学81.7 vs 検95.2で逆に検証が上)	残差学習+単調制約+内部検証はp_fund標準構成として採用確定。2シグナルでは+0.4z程度の限界ゲイン、真価は7シグナル時。カット運用にはスコア離散性対策(葉数増やすor線形ブレンド)が必要	gbm_residual_v2.py / log348
78	シグナル採掘ハーネスv1と第1ラウンド(6候補)	発見窓2014-2018/確認窓2019-2021の二段検定(両方同符号|z|>2.5で合格、合格者のみ2022+開封)+検定台帳tested_signals.tsv。候補: pos_gain(直線で拾う力)/margin_loss(惜敗度)/lead_rate(先行率)/layoff_delta(休み明け耐性)/jsw_delta(乗り替わり耐性)/upfirst_top3(昇級初戦通用歴)	発見8.4-12.4万/確認5.0-6.9万	-	**6候補全て棄却(0/6)**。惜しい2本: pos_gain -1.36/-3.60(負方向=直線で拾う派手さは過大評価気味だが発見窓未達)・lead_rate +2.14/+1.75(先行率やや過小評価だが両窓未達)。他3本はz1未満	基準未達の「惜しい候補」を救済しない(多重検定の忍び込み防止)。最終窓2022+は未開封のまま温存	採掘の底率を確認: 実在シグナルは希少(本日通算 2/21)。惜しい2本の方向感(派手な末脚=過大評価・地味な先行=過小評価)は有名/地味の法則と整合し将来の候補設計の参考。次弾はペース文脈(PCI)系・コメントテキスト系(material#24の未開拓源)	signal_harness.py / log349
79	Q20×Q40セル内の追加絞り軸の総点検(季節/牡/クラス/帯)	採用セル(n=4884/2405)内で季節4分割・牡・1-2勝・4-9.9倍・牡×1-2勝を両窓ROI/除3で比較	2014-2021/2022-2026	絞り後487-3356	-	季節は完全な窓間ノイズ: 春 学112.3→検83.6・夏 学69.7→検125.5と真逆に振れる(冬84/92・秋76/97)。牡: 79.3/104.4、牡×1-2勝: 72.6/115.0も窓反転。**唯一両窓で改善するのは4-9.9倍(89.1/100.3, 除3 86.8/95.2)=既知のオッズ変換工程のみ**	市場較正が季節不変(#39-40)なのと整合: 季節にシグナル構造はなく、セルをこれ以上属性で切ると窓間ノイズが支配する段階に到達	バックテストでの絞り込み余地は尽きた(絞りは情報を濃縮するだけで創造しない)。100超えの経路は「絞る」でなく「足す」=血統系5シグナルをこの母集団に重ねるp_fund再構築のみ。季節絞りは不採用	インライン(log350)
80	採掘第2ラウンド: 血統系3候補(ダート適性の累積)	sire_dirt_place(父のダート複勝率)/sire_dirt_delta(父のダート特化度)/bms_dirt_delta(母父版)を日付順累積(n>=100)で構築、ダート適格馬(6-30走)母集団で二段検定	発見2014-2018/確認2019-2021	5.5-6.0万/3.1-3.4万	-	**0/3不合格**。sire_dirt_place +1.19/+1.40(織り込み済み)。sire_dirt_delta +4.47/**+0.68**=発見窓の好成績が確認窓で消滅(二段検定が防いだ罠の実例)。bms_dirt_delta +2.67/-0.78(符号反転)	「ダート血統」は競馬教科書の筆頭項目=有名側で完全織り込み。血統で実在確認済みの+17.6ptは週±1開催適性という細かい条件付きシグナルであり、粗い適性集計では拾えない	血統をka×rfに足すには週±1小系統基盤(/tmp揮発済み)の再実装が必要=p_fund再構築の作業範囲と確定。ハーネス台帳は通算9候補0合格(本日全体では2/24)	signal_harness_r2.py / log351
81	Q20×Q40セル内の小系統別・種牡馬別ROI	7系統(live/sire_lineage_map.py)+セル内n>=120の個別種牡馬で両窓ROI/除3/プラス年	2014-2021/2022-2026	系統×窓で24-1791	-	両窓+除3を満たす系統ゼロ: 米国系 学79.2(除3 72.6,+年1/8)/検107.2(除3 96.3,+年4/5)=窓反転。ディープ系114.7/104.6は除3 42.9/74.4で配当依存。サンデー系他88.1/100.5も除3 79/75。個別ではパイロ116/120(n=74/58)シニスター96/183(n=90/86)などn極小のみ	系統は世代交代で母集団自体が窓間で入れ替わる(ゴールドアリュール消滅→ヘニーヒューズ台頭等)ため、単純な系統バックテストは構造的に窓不整合になる	血統でROIを上げるにはセル内スライスでは不可能。週±1条件付き+年次WFの血統基盤(p_fund)が必要という#80の結論を系統ROI側からも確認	インライン(log352)
82	芝版Q20×Q40の検証	同じ凍結閾値(ka>=0.5, rf>=0.0351)を芝×3-6歳×≤30走×<50倍に適用、ダート対照併記	2014-2021/2022-2026	芝7340/3606	-	芝: 学92.5(除3 90.5,+年2/8)→検79.1(除3 75.4,**+年0/5**)と検証窓で悪化。4-9.9倍でも90.9→85.6。ダート対照は85.7→97.9(改善)と真逆	芝はシグナルzが元々弱い(#55: ka3.1/2.6, rf2.0/2.7)ことと整合。芝では学習窓→検証窓で減衰=市場が先に消化した可能性	芝版は不採用が確定。ダート限定仕様の正しさを対照実験で直接確認(ダは窓間で改善・芝は劣化という綺麗な対比)	インライン(log353)
83	「zが高いのはブレがでかいだけ」説の検査	①馬単位クラスタ頑健SE ②レース単位クラスタ頑健SE ③馬単位シャッフルによる帰無z分布の実測(クラスタ構造保存、60回)	2014-2021/2022-2026	ka 14万+7.5万・rf 19万+9.8万	-	①馬クラスタでz不変(ka 4.87→4.97/4.90→4.90、rf 5.49→5.52/5.18→5.13)=同一馬の反復出走によるSE過小は無視できる ②レースクラスタでは逆にz上昇(5.4-5.9)=1レース1勝の負の相関でnaiveは保守的 ③帰無z分布はstd 0.82-0.94(N(0,1)より狭い)・60回の最大|z|=2.0-2.4 → 観測z≈5はノイズ+クラスタ構造では到達不能	シャッフルは馬単位(全行に同値)でクラスタ構造を保存した厳密設計	z≈5は分散の産物ではなく実効果と三重に確認。統計的基盤の最終検査に合格	インライン(log354)
84	採用セルのクラス別・性別ROI分解	Q20×Q40セル内をクラス5群・性別3・クラス×性別で両窓分解	2014-2021/2022-2026	群あたり66-3356	-	**2勝クラスだけが両窓一貫**(90.7/103.9, 除3 83.5/91.6, +年4/8・4/5)=ダ2勝ka3 z5.45(#56)と整合。他は鏡映しの窓反転: 牡79→104/牝97→78、2勝牡73→115/2勝牝115→76、OP重賞83→116、3勝89→71。セは両窓100超だが除3 72/56の配当依存	**発見: 1勝クラスの検証窓n=0は降級制度廃止(2019)の構造効果** — ka3>=0.5は「3着内3回のうち勝ち2回以上」を要求し、1勝馬(勝ち星1)は降級馬が消えた現代では機械的に不適格。仕様は現代では実質「未勝利少々+2勝以上」を選んでいる	仕様変更はしない(事前登録済み)。フォワードのピック構成予測として「2勝以上が主体」を申し送り。クラス性別の追加絞りは窓反転ノイズで不可の結論不変	インライン(log355)
85	2勝以上×(馬場×性×帯×季節)のAND全数分解	採用シグナル条件をクラス2勝以上に絞り、3軸(馬場×性×帯)15セルと4軸(+季節)64セル(測定可能35)を全数出し	2014-2021/2022-2026	3軸セル83-1321	-	**3軸の頂点: ダ×牡×4-9.9倍=学102.3(除3 98.3)/検105.8(除3 98.7) n=733/405 — 今日初の「両窓素100超え+除3≈98」セル**。ただし5条件AND(シグナル+ダ+牡+2勝以上+帯)の事後選択でプラセボ補正-7ptを当てると真値~95。季節を足した4軸は鏡映し反転だらけ(ダ牡4-9.9夏117/142 n=151/82等はn不足)で季節ノイズの結論不変。芝は2勝以上でも94→79で死亡確認	全ての構成要素(ダート#55/牡#65/2勝#56,84/帯#71)が独立に正当化済みという点で過去の偶然セルとは質が違うが、選択の深さも今日最大	事前登録仕様は変更しない。フォワード集計にダ×牡×2勝以上×4-9.9の部分集計を情報として併記(判定基準は登録済み仕様のまま)。季節軸は最終的に全面棄却	インライン(log356)
86	p_fund v0.5(7シグナル素材の蒸留・残差GBM)	確定済みの型(base_margin残差+ka/rf単調制約+内部検証32本)に素材特徴量13本(ka/rf/小系統/性別/馬齢/枠相対/走数/頭数/距離/芝ダ/クラス/会場)を投入。ブレンドz/EVルール(対照付き)/上位カットで評価	学習2014-2021/検証2022-2026	学13.1万/検6.9万	-	ブレンドz+6.78(combo+6.36、2特徴量規律版+6.75)=**素材追加の上積みほぼゼロ(+0.03)**。gain上位はlineage/venueだが窓外に翻訳されず。**EVルール: 全馬EV<1.1でピック0件**(市場残差が薄く、正直なモデルは「単勝市場では賭けるな」と言う)。ダート上位10%カット 学110.1(過学習残)/検93.6	生の小系統・会場カテゴリは織り込み済み(#80と整合)。実在+17.6ptは週±1条件付きリフトであり素材の生投入では出ない	v0.5の診断: 残る+10ptは「週±1条件構造」の中にだけあり、専用基盤(slice_diffs2型+年次WF)の再構築が必須と確定。素材だけのp_fundでは壁は破れない。真のv1は複数日タスクとして凍結明けに	p_fund_v05.py / log357
87	採掘第3ラウンド: 市場マイクロ構造系(CSV直読)	fw_gap(単複乖離=複勝シェアと単勝支持率の対数比、全期間・正規窓)とdrift1(オッズ動態=ln(確定単勝/指時系1単勝)、2020-2024のみ・変則窓2020-22/2023-24)	発見24.7万・14.3万/確認14.3万・9.4万	-	-	**drift1が合格: z=-5.35/-6.84**(負=確定までにオッズが伸びた馬は見た目より勝たない=遅い金は賢い)。五分位ROIが両窓で強烈に単調: 売れた側Q1 86.6/88.5→見放されQ5 46.9/43.1(**40pt差**、今日最大の勾配)。fw_gapは-1.53/-4.91で棄却(方向は「単勝プールの方が賢い」でHausch-Ziemba整合だが発見窓未達)	変則窓(指時系1の充足が2020-2024のみ)を台帳に明記。オッズ系特徴量のためp_fund(オッズ非使用)には入れずブレンド層向け。usecolsの列順バグを修正(positional rename禁止)	第3の実在シグナル。実運用は自前のodds_log(AJAX時系列)で直前ドリフトを再現可能=自動投票の買付タイミング(発走3-15分前)と整合。次: 採用セルとの独立性検定+ブレンド層組込	signal_harness_r3.py / log358
88	drift統合検定(独立性/セルフィルタ/3本ブレンド)	CSVのdriftをDB特徴量と血統登録番号×日付で結合(結合率100%%)。①相関+同時投入 ②採用セル×drift中央値フィルタ ③3本統合スコア上位カット。変則窓2020-22/2023-24	80896行(2020-2024)	-	-	①drift-ka相関0.05(独立)・drift-rf 0.32(中相関=見限られ次元を共有)。同時投入で3本とも両窓有意: ka+2.81/+3.10, rf+4.05/+3.97, drift-3.75/-5.00 ②**採用セル×売れた側(drift<=中央値): 77.6→84.3(+6.7pt)/102.6→115.6(+13.0pt, 除3 99.1)** — 両窓同方向でセルを押し上げ ③統合上位10%%は93.2/95.0で平凡	driftはrfと0.32相関するが同時投入で両方独立に有意=情報は重複しきらない。窓は変則(drift充足2020-24)	drift回避フィルタは採用セルに+7-13ptの実利。実装は自前odds_log(T-数時間→T-3分)で可能かつ買付前に観測可能。事前登録本体は不変のまま、フォワードにdrift別トラック集計を追加する価値大	drift_integration.py / log359
